"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","Canonical Link Element 2","URL Encoded Address"
"https://www.how-ma.com/mag/","text/html; charset=UTF-8","200","OK","Indexable","","4c7a29c31142de4ff5a0140c3fcf48db","27","https://www.how-ma.com/mag/","","https://www.how-ma.com/mag/"
"https://www.how-ma.com/javascripts/fxlx.js?1775459445","application/javascript","200","OK","Indexable","","","53","","","https://www.how-ma.com/javascripts/fxlx.js?1775459445"
"https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/instantsearch.production.min.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","127","","","https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/instantsearch.production.min.js?ver=1.0.0"
"https://www.how-ma.com/mag/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","text/javascript","200","OK","Indexable","","","72","","","https://www.how-ma.com/mag/wp-includes/js/jquery/jquery.min.js?ver=3.7.1"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-39-768x390.png","image/png","200","OK","Indexable","","","89","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-39-768x390.png"
"https://www.how-ma.com/mag/category/special/","text/html; charset=UTF-8","200","OK","Indexable","","e4eeb5eb961a28464004dfb9341e8757","44","https://www.how-ma.com/mag/category/special/","","https://www.how-ma.com/mag/category/special/"
"https://www.how-ma.com/mag","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","4c7a29c31142de4ff5a0140c3fcf48db","26","https://www.how-ma.com/mag/","","https://www.how-ma.com/mag"
"https://www.how-ma.com/mag/page/2/","text/html; charset=UTF-8","200","OK","Indexable","","99204175aaf69286440e762095419583","34","https://www.how-ma.com/mag/page/2/","","https://www.how-ma.com/mag/page/2/"
"https://how-ma.com/users/sign_up","","301","Moved Permanently","Non-Indexable","Redirected","","32","","","https://how-ma.com/users/sign_up"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-42-3-768x390.png","image/png","200","OK","Indexable","","","91","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-42-3-768x390.png"
"https://www.how-ma.com/mag/wp-content/themes/the-thor/js/fit-sidebar.min.js?ver=6.9.4","application/javascript","200","OK","Indexable","","","85","","","https://www.how-ma.com/mag/wp-content/themes/the-thor/js/fit-sidebar.min.js?ver=6.9.4"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-47-1-768x390.png","image/png","200","OK","Indexable","","","91","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-47-1-768x390.png"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-46-768x390.png","image/png","200","OK","Indexable","","","89","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-46-768x390.png"
"https://www.how-ma.com/mag/wp-content/uploads/2016/10/424-4.jpeg","image/jpeg","200","OK","Indexable","","","64","","","https://www.how-ma.com/mag/wp-content/uploads/2016/10/424-4.jpeg"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-45-768x390.png","image/png","200","OK","Indexable","","","89","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-45-768x390.png"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-44-768x390.png","image/png","200","OK","Indexable","","","89","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-44-768x390.png"
"https://www.how-ma.com/otoiawase/new","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","a270eebad58396e2295f70abce039cb0","36","https://www.how-ma.com/otoiawase/new","","https://www.how-ma.com/otoiawase/new"
"https://www.how-ma.com/mag/wp-content/themes/the-thor-child/style.css?ver= %20 %201.0.1703662115","text/css","200","OK","Indexable","","","96","","","https://www.how-ma.com/mag/wp-content/themes/the-thor-child/style.css?ver=%C2%A0%20%C2%A0%201.0.1703662115"
"https://www.how-ma.com/mag/wp-content/themes/the-thor/style.css?ver=6.9.4","text/css","200","OK","Indexable","","","73","","","https://www.how-ma.com/mag/wp-content/themes/the-thor/style.css?ver=6.9.4"
"https://www.how-ma.com/privacy","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","f372f3abfa6535ee8ab1998a328d2d6c","30","https://www.how-ma.com/privacy","","https://www.how-ma.com/privacy"
"https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/css/satellite-min.css?ver=1.0.0","text/css","200","OK","Indexable","","","107","","","https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/css/satellite-min.css?ver=1.0.0"
"https://www.how-ma.com/mag/wp-content/plugins/rocket-lazy-load/assets/js/16.1/lazyload.min.js","application/javascript","200","OK","Indexable","","","93","","","https://www.how-ma.com/mag/wp-content/plugins/rocket-lazy-load/assets/js/16.1/lazyload.min.js"
"https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/algoliasearch-lite.umd.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","121","","","https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/algoliasearch-lite.umd.js?ver=1.0.0"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","text/html; charset=UTF-8","200","OK","Indexable","","63f7d5adb528de601cfc9ac138600f87","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","text/html; charset=UTF-8","200","OK","Indexable","","1738cf9cbbe5d41861cac390e329a8ce","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/"
"https://www.how-ma.com/mag/category/interview/assessment-interview/","text/html; charset=UTF-8","200","OK","Indexable","","5aa2fd44e091877b62aa6750e30c62a7","67","https://www.how-ma.com/mag/category/interview/assessment-interview/","","https://www.how-ma.com/mag/category/interview/assessment-interview/"
"https://www.how-ma.com/mag/wp-content/uploads/howma_magazine_logo-1.png","image/png","200","OK","Indexable","","","71","","","https://www.how-ma.com/mag/wp-content/uploads/howma_magazine_logo-1.png"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-43-2-768x390.png","image/png","200","OK","Indexable","","","91","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-43-2-768x390.png"
"https://www.how-ma.com/","text/html; charset=utf-8","200","OK","Indexable","","caf44432f4fcdd240a2b6c60567cd34f","23","https://www.how-ma.com/","","https://www.how-ma.com/"
"https://www.how-ma.com/mag/authors/","text/html; charset=UTF-8","200","OK","Indexable","","d76614aff3523e6da2f6cd2e96a8169a","35","https://www.how-ma.com/mag/authors/","https://www.how-ma.com/mag/authors/","https://www.how-ma.com/mag/authors/"
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","text/html; charset=UTF-8","200","OK","Indexable","","dbd5e475c5a724f65ff8fc7606bec396","64","https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/"
"https://www.how-ma.com/mag/category/news/","text/html; charset=UTF-8","200","OK","Indexable","","1bfdbe358fcc06fd1712ff2e66e69c10","41","https://www.how-ma.com/mag/category/news/","","https://www.how-ma.com/mag/category/news/"
"https://www.how-ma.com/mag/category/market/","text/html; charset=UTF-8","200","OK","Indexable","","6f1d0458add02a204fd1d96b7363fdc5","43","https://www.how-ma.com/mag/category/market/","","https://www.how-ma.com/mag/category/market/"
"https://www.how-ma.com/mag/wp-includes/css/dist/block-library/style.min.css?ver=6.9.4","text/css","200","OK","Indexable","","","85","","","https://www.how-ma.com/mag/wp-includes/css/dist/block-library/style.min.css?ver=6.9.4"
"https://www.how-ma.com/mag/category/interview/","text/html; charset=UTF-8","200","OK","Indexable","","ab4e19fb06023549c9f0b8f06a0d278b","46","https://www.how-ma.com/mag/category/interview/","","https://www.how-ma.com/mag/category/interview/"
"https://www.how-ma.com/mag/category/sell/","text/html; charset=UTF-8","200","OK","Indexable","","5289a1b9ed4266be48e6df69a2bfb777","41","https://www.how-ma.com/mag/category/sell/","","https://www.how-ma.com/mag/category/sell/"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","text/html; charset=UTF-8","200","OK","Indexable","","8261ee46785067c91d460ea6d920b3c0","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/"
"https://www.how-ma.com/mag/wp-content/uploads/ab2556a3998e0d13dabf56980cf21176_s.jpg","image/jpeg","200","OK","Indexable","","","84","","","https://www.how-ma.com/mag/wp-content/uploads/ab2556a3998e0d13dabf56980cf21176_s.jpg"
"https://www.how-ma.com/mag/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","text/javascript","200","OK","Indexable","","","80","","","https://www.how-ma.com/mag/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1"
"https://www.how-ma.com/mag/sell/sales-negotiation/","text/html; charset=UTF-8","200","OK","Indexable","","fb7e9d7cc1198aaefc564ae03f2e3179","50","https://www.how-ma.com/mag/sell/sales-negotiation/","https://www.how-ma.com/mag/sell/sales-negotiation/","https://www.how-ma.com/mag/sell/sales-negotiation/"
"https://www.how-ma.com/mag/wp-content/plugins/liquid-speech-balloon/css/block.css?ver=6.9.4","text/css","200","OK","Indexable","","","91","","","https://www.how-ma.com/mag/wp-content/plugins/liquid-speech-balloon/css/block.css?ver=6.9.4"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-38-2-768x390.png","image/png","200","OK","Indexable","","","91","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-38-2-768x390.png"
"https://www.how-ma.com/mag/sell/price-change/","text/html; charset=UTF-8","200","OK","Indexable","","4b130abd3877978835e3720336595d87","45","https://www.how-ma.com/mag/sell/price-change/","https://www.how-ma.com/mag/sell/price-change/","https://www.how-ma.com/mag/sell/price-change/"
"https://www.how-ma.com/mag/wp-content/plugins/all-in-one-seo-pack/dist/Lite/assets/css/table-of-contents/global.e90f6d47.css?ver=4.9.5.1","text/css","200","OK","Indexable","","","136","","","https://www.how-ma.com/mag/wp-content/plugins/all-in-one-seo-pack/dist/Lite/assets/css/table-of-contents/global.e90f6d47.css?ver=4.9.5.1"
"https://www.how-ma.com/mag/wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105","text/javascript","200","OK","Indexable","","","79","","","https://www.how-ma.com/mag/wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105"
"https://www.how-ma.com/mag/wp-content/uploads/2018/05/21a42f360b0effb11804517fd783059f_s.jpg","image/jpeg","200","OK","Indexable","","","92","","","https://www.how-ma.com/mag/wp-content/uploads/2018/05/21a42f360b0effb11804517fd783059f_s.jpg"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","text/html; charset=UTF-8","200","OK","Indexable","","4de60057567b762b34c510fc9b069566","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/"
"https://www.how-ma.com/mag/wp-content/themes/the-thor/style.min.css","text/css","200","OK","Indexable","","","67","","","https://www.how-ma.com/mag/wp-content/themes/the-thor/style.min.css"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-40-768x390.png","image/png","200","OK","Indexable","","","89","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-40-768x390.png"
"https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/algolia-search.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","106","","","https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/algolia-search.js?ver=1.0.0"
"https://www.how-ma.com/mag/category/money/","text/html; charset=UTF-8","200","OK","Indexable","","b1ed7f5baf347b2fa77477849ab4ce23","42","https://www.how-ma.com/mag/category/money/","","https://www.how-ma.com/mag/category/money/"
"https://www.how-ma.com/mag/wp-content/themes/the-thor/js/smoothlink.min.js?ver=6.9.4","application/javascript","200","OK","Indexable","","","84","","","https://www.how-ma.com/mag/wp-content/themes/the-thor/js/smoothlink.min.js?ver=6.9.4"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","text/html; charset=UTF-8","200","OK","Indexable","","b75c3fb8b7828703e92adde1167e218b","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/"
"https://www.how-ma.com/mag/page/3/","text/html; charset=UTF-8","200","OK","Indexable","","777b7f392c8308750e3db9458b573219","34","https://www.how-ma.com/mag/page/3/","","https://www.how-ma.com/mag/page/3/"
"https://www.how-ma.com/mag/category/buy/","text/html; charset=UTF-8","200","OK","Indexable","","c32779d570b91657fd88476d347f14cf","40","https://www.how-ma.com/mag/category/buy/","","https://www.how-ma.com/mag/category/buy/"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","text/html; charset=UTF-8","200","OK","Indexable","","a26a8bd7a838f83b0860ba28bfb6f7c2","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-41-2-768x390.png","image/png","200","OK","Indexable","","","91","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-41-2-768x390.png"
"https://www.how-ma.com/mag/wp-includes/css/dashicons.min.css?ver=6.9.4","text/css","200","OK","Indexable","","","70","","","https://www.how-ma.com/mag/wp-includes/css/dashicons.min.css?ver=6.9.4"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","text/html; charset=UTF-8","200","OK","Indexable","","8835a8996f95ffe5fc80663219fef6d","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/"
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","text/html; charset=UTF-8","200","OK","Indexable","","e9a86d34ce956aa7ef5c77cd0d8a2097","64","https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/"
"https://www.how-ma.com/mag/wp-includes/js/thickbox/thickbox.css?ver=6.9.4","text/css","200","OK","Indexable","","","73","","","https://www.how-ma.com/mag/wp-includes/js/thickbox/thickbox.css?ver=6.9.4"
"https://www.how-ma.com/mag/sell/souba-kyukyoku/","text/html; charset=UTF-8","200","OK","Indexable","","1602ce786574c7266d6314e75ec47a89","47","https://www.how-ma.com/mag/sell/souba-kyukyoku/","https://www.how-ma.com/mag/sell/souba-kyukyoku/","https://www.how-ma.com/mag/sell/souba-kyukyoku/"
"https://www.how-ma.com/mag/wp-content/themes/the-thor/js/offline.min.js?ver=6.9.4","application/javascript","200","OK","Indexable","","","81","","","https://www.how-ma.com/mag/wp-content/themes/the-thor/js/offline.min.js?ver=6.9.4"
"https://www.how-ma.com/mag/content_policy/","text/html; charset=UTF-8","200","OK","Indexable","","83753d6cc54038d0833bc4b83bcf808b","42","https://www.how-ma.com/mag/content_policy/","https://www.how-ma.com/mag/content_policy/","https://www.how-ma.com/mag/content_policy/"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","text/html; charset=UTF-8","200","OK","Indexable","","2c8bc16b154bdf02ea73353228d7a0a7","69","https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/"
"https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_gigazine.png&w=384&q=75","image/png","200","OK","Indexable","","","77","","","https://www.how-ma.com/_next/image?url=%2Fnext%2Flogo_gigazine.png&w=384&q=75"
